source,codigo,descripcion,excel_quantity,source_quantity,difference
JSON activo inventory-products.json,00-958392-000G2,"Montaje de válvula de drenaje, lado derecho",2.0,0.0,-2.0
JSON activo inventory-products.json,80629,Motobomba de enjuague e 220/240v - 1PH - 60HZ - ECOMAX 603/503 Lavaloza,1.0,0.0,-1.0
JSON activo inventory-products.json,00-437044-00006,"Motor, accionamiento del transportador, 208-240/480 V, 60 Hz, 3 PH LAVALOZA C54A",1.0,0.0,-1.0
JSON activo inventory-products.json,00-411242-0000,Perilla de control,1.0,0.0,-1.0
JSON activo inventory-products.json,00-428300-00001,"Perilla negra, 2,75 de diámetro",3.0,0.0,-3.0
JSON activo inventory-products.json,00-938783,Placa de fijacion permanente,1.0,0.0,-1.0
JSON activo inventory-products.json,00-938782,Placa moledora de carne,1.0,0.0,-1.0
JSON activo inventory-products.json,00-938784,Placa moledora de carne,1.0,0.0,-1.0
JSON activo inventory-products.json,00-938785,Placa moledora de carne,1.0,0.0,-1.0
JSON activo inventory-products.json,00-938786,Placa picadora de carne,1.0,0.0,-1.0
JSON activo inventory-products.json,00-271123,Protector de límite alto,1.0,0.0,-1.0
JSON activo inventory-products.json,00-950546-00001,Puerta sensor temperatura AM16,1.0,0.0,-1.0
JSON activo inventory-products.json,00-110334,"Retén, planetario, HL300",1.0,0.0,-1.0
JSON activo inventory-products.json,1312641,"Sierra de 126"" 5/8  x 0.022 Thk. 4T",6.0,0.0,-6.0
JSON activo inventory-products.json,00-353589-0001,Sonda de temperatura,0.0,1.0,1.0
JSON activo inventory-products.json,00-328994,Soporte para sonda,5.0,0.0,-5.0
JSON activo inventory-products.json,00-919363-00PK,Tapón para lavaloza,3.0,0.0,-3.0
JSON activo inventory-products.json,00-563609,Trampa de aire CL44-AM16-LX,1.0,0.0,-1.0
JSON activo inventory-products.json,00-709240-0000A,"Tubo piloto de 3/16"" X 24"", acero revestido de cobre",4.0,0.0,-4.0
JSON activo inventory-products.json,00-292909-00002,"Válvula reguladora de vacío, 1/2""",1.0,0.0,-1.0
JSON activo inventory-products.json,00-292909-00003,"Válvula reguladora de vacío, 1/2"" Lavaloza AM15",1.0,0.0,-1.0
JSON activo inventory-products.json,00-435968-00001,"Válvula solenoide, 1/2"", 120 V",2.0,0.0,-2.0
JSON activo inventory-products.json,2008939,Bomba de agua MANITOWOC,1.0,0.0,-1.0
JSON activo inventory-products.json,105012-01,Charola deflector B-800 HOSHIZAKI,1.0,0.0,-1.0
JSON activo inventory-products.json,426799-01,Conector para interruptor HOSHIZAKI,2.0,4.0,2.0
JSON activo inventory-products.json,2006589,Contactores 1 pole 115v MANITOWOC,2.0,0.0,-2.0
JSON activo inventory-products.json,9101379-01,Interruptor Magnetico ICE O MATIC,2.0,0.0,-2.0
JSON activo inventory-products.json,2006549,Sonda de nivel de agua MANITOWOC,1.0,11.0,10.0
JSON activo inventory-products.json,BARRIL-3/8,Barril 3/8,3.0,0.0,-3.0
JSON activo inventory-products.json,PILOTO-1/4,Block piloto 1/4,1.0,0.0,-1.0
JSON activo inventory-products.json,156029,"Bombilla transparente W 40 ,V 130 DUKE",4.0,0.0,-4.0
JSON activo inventory-products.json,W10380496,Carbones para batidora,1.0,0.0,-1.0
JSON activo inventory-products.json,CEPILLO,Cepillo de alambre con mango curvo,4.0,0.0,-4.0
JSON activo inventory-products.json,2J-306342,"Conjunto de tubo piloto y punta, 3/16"", H-241 WELLS",1.0,0.0,-1.0
JSON activo inventory-products.json,35-625906-011,Control de encendido 24 vac FENWAL,1.0,0.0,-1.0
JSON activo inventory-products.json,44-1266044122,Control de encendido FENWAL/BLODGETT,1.0,0.0,-1.0
JSON activo inventory-products.json,9706529,Engrane metalico inferior Batidora KITCHEN AID,2.0,0.0,-2.0
JSON activo inventory-products.json,WPW10112253,Engrane para batidora plastico KITCHEN AID,2.0,0.0,-2.0
JSON activo inventory-products.json,ESPREA,Esprea de capote,4.0,0.0,-4.0
JSON activo inventory-products.json,681027,Fan motor 120v ALTO-SHAAM,1.0,0.0,-1.0
JSON activo inventory-products.json,FILTRO-PITCO,Filtros de papel para freidora Pitco PP10613 14.5 x 22.5cm,19.0,0.0,-19.0
JSON activo inventory-products.json,BT-15,Foco acorazanado 95watts,1.0,0.0,-1.0
JSON activo inventory-products.json,421167,Interruptor de encendido ALTO-SHAAM,1.0,0.0,-1.0
JSON activo inventory-products.json,8720.1571,"Kit de reequipamiento, tornillo, pasador recto RATIONAL",1.0,0.0,-1.0
JSON activo inventory-products.json,5017541,Kit de servicio de encendido ALTO-SHAAM,1.0,0.0,-1.0
JSON activo inventory-products.json,70100801619L,Micro switch para horno DRAGO 21A 250V,1.0,0.0,-1.0
JSON activo inventory-products.json,NIPLECAMISA-1/4,Niple camisa 1/4,3.0,0.0,-3.0
JSON activo inventory-products.json,PER-TRIAN-FERRO,Perilla Ferro triangular FERRO,2.0,0.0,-2.0
JSON activo inventory-products.json,PER-60250,Perilla Negra 60-250 C,10.0,0.0,-10.0
JSON activo inventory-products.json,PER-UNIV-R,Perilla para estufa roja,3.0,0.0,-3.0
JSON activo inventory-products.json,PERILLAESTUFASANSON,Perilla para estufa SANSON,1.0,0.0,-1.0
JSON activo inventory-products.json,PER-200400,Perilla para freidora 200-400C,1.0,0.0,-1.0
JSON activo inventory-products.json,PER-30-120,Perilla para termostato 30-120,1.0,0.0,-1.0
JSON activo inventory-products.json,PERILLASANSON,Perilla para termostato horno SANSON,1.0,0.0,-1.0
JSON activo inventory-products.json,PILOTOHONGOSANSON,Piloto tipo hongo con opresor SANSON,4.0,0.0,-4.0
JSON activo inventory-products.json,1542800,"Quemador de salamandra Infrarrojos, 38,1 x 20,32 cm GARLAND",1.0,0.0,-1.0
JSON activo inventory-products.json,145010,Quemador piloto TARGET SIT 1 Llama Dx 0.145.010 GARGLAND,2.0,0.0,-2.0
JSON activo inventory-products.json,REDBUSHING-3/4,Reducción Bushing 1 1/4 a 3/4,2.0,0.0,-2.0
JSON activo inventory-products.json,PT-100,Sensor J SANSON,1.0,0.0,-1.0
JSON activo inventory-products.json,BA-39987,Tablero de adaptadores ALTO-SHAAM,2.0,0.0,-2.0
JSON activo inventory-products.json,TUERCA-5/8,Tuerca de 5/8,5.0,0.0,-5.0
JSON activo inventory-products.json,9043056,Válvula de Paso 3/4(25) DURMAN,1.0,0.0,-1.0
JSON activo inventory-products.json,VALVULASANSON,Valvula para estufa SANSON,1.0,0.0,-1.0
JSON activo inventory-products.json,1346G,Valvula para horno,5.0,0.0,-5.0
JSON activo inventory-products.json,311847,Valvula para horno tuerca 3/8 IUSA,1.0,0.0,-1.0
JSON activo inventory-products.json,41-225,Encendedor ignitor Bakers Pride M2140A 24 V,1.0,0.0,-1.0
JSON activo inventory-products.json,1751-012,Perilla beige para valvula de gas,3.0,0.0,-3.0
JSON activo inventory-products.json,1980-024,"Termocople universal de 24""",0.0,1.0,1.0
JSON activo inventory-products.json,1980-036,"Termocople universal de 36""",2.0,6.0,4.0
JSON activo inventory-products.json,1980-048,"Termocople universal de 48""",7.0,9.0,2.0
JSON activo inventory-products.json,1950-001,Termopila para valvula minivolt,4.0,1.0,-3.0
JSON activo inventory-products.json,KCE1095A,"Cable De La Placa De Control, 4 polos, 2M",1.0,3.0,2.0
JSON activo inventory-products.json,KVE1115A,"Contactor, Mini, 230 Volt, 20 Amp, 4 Pole",2.0,4.0,2.0
JSON activo inventory-products.json,KGN1354A,Empaque Horno Rossella,1.0,2.0,1.0
JSON activo inventory-products.json,KGN1352A,Empaque para horno Arianna,0.0,2.0,2.0
JSON activo inventory-products.json,KGN1432B,Empaque para Speed Pro,3.0,5.0,2.0
JSON activo inventory-products.json,KVM2505A,Empuja cristal doble puerta,2.0,0.0,-2.0
JSON activo inventory-products.json,XHC003,Filtro pure,0.0,4.0,4.0
JSON activo inventory-products.json,KCN1010A,Kit capacitor condensador 3.5 UF,2.0,0.0,-2.0
JSON activo inventory-products.json,KPE2038A,Kit de tarjeta de energia,0.0,1.0,1.0
JSON activo inventory-products.json,KTM1005A,Kit de temperizador 60 min,2.0,0.0,-2.0
JSON activo inventory-products.json,KTR1100A,Kit de termostato 269 C,1.0,0.0,-1.0
JSON activo inventory-products.json,KTR1136A,"Kit De Termostato De Seguridad, 330C",2.0,3.0,1.0
JSON activo inventory-products.json,KTR1161A,"Kit De Termostato De Seguridad, 350C",1.0,3.0,2.0
JSON activo inventory-products.json,KVL1102A,Kit filtro de valvula no retorno detergente,1.0,0.0,-1.0
JSON activo inventory-products.json,KPE1438A,Kit panel de control cap speed.pro,0.0,1.0,1.0
JSON activo inventory-products.json,XHC010,Sistema de filtracion resina,0.0,1.0,1.0
JSON activo inventory-products.json,R02.08.010D.00,"Resistencia 120 V, 800 W, GR-48 HATCO",2.0,0.0,-2.0
JSON activo inventory-products.json,LC-48,Resistencia electrica 120V 1100W INTERNATIONAL,1.0,0.0,-1.0
JSON activo inventory-products.json,DZ-400,Resistencia para maquina al vacio dz-400 MIGSA,1.0,0.0,-1.0
JSON activo inventory-products.json,030S00,Resistencia plana,1.0,0.0,-1.0
JSON activo inventory-products.json,RES-PLAN,Resistencia plana de 9.5 mm x 1.58 mm de ancho x metro,2.0,0.0,-2.0
JSON activo inventory-products.json,TEFLONMT,Teflon para maquina al vacio CAJA,1.0,0.0,-1.0
JSON activo inventory-products.json,LT221209,Termometro asador horno Ataud parrilla de 50 a 500,3.0,0.0,-3.0
JSON activo inventory-products.json,S-236-42,"Termostato 175-550F, 42"" ROBERTSHAW",1.0,0.0,-1.0
JSON activo inventory-products.json,KXP-336-48,"Termostato 200 a 500 F, bulbo de 3/16″ x 12″, tapa de 48″ DUKE",1.0,0.0,-1.0
