source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia,matched_sources
397,4A7080G01,4A7080G01,Flotador de control de nivel de agua HOSHIZAKI,1.0,1.0,0.0,1.0,1.0,1.0,1025.86,0,1025.86,,,inventory/data/products-all.csv
400,9101379-01,9101379-01,Interruptor Magnetico ICE O MATIC,2.0,2.0,0.0,2.0,2.0,2.0,0,19.86,417.06,2025-03-25T00:00:00,Act Nov 2076,inventory/data/products-all.csv
401,102147701,102147701,Kit interruptor magnetico KOLD-DRAFT,2.0,2.0,0.0,2.0,2.0,2.0,0,106.23,0.0,,Act Nov 2025,inventory/data/products-all.csv
402,3032819-01S,3032819-01S,Manguera para bin ICE O MATIC,1.0,1.0,0.0,1.0,1.0,1.0,2300.0,0,2300.0,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
403,9161031-01,9161031-01,Motor reductor 3W 230V ICE O MATIC,1.0,1.0,0.0,1.0,1.0,1.0,1102.0,0,1102.0,,Vigencia de precio,inventory/data/products-all.csv
404,516101501,516101501,"Motorreductor actuador, 115 V, 50/60 Hz KOLD-DRAFT",1.0,1.0,0.0,1.0,1.0,1.0,0,155.0,0.0,,Act Nov 2025,inventory/data/products-all.csv
405,2007579,2007579,Relay 400 VAC MANITOWOC,1.0,1.0,0.0,1.0,1.0,1.0,800.0,0,800.0,,Vigencia de precio,inventory/data/products-all.csv
406,LY2N-J,LY2N-J,Relay para maquina de hielo UNIVERSAL,3.0,3.0,0.0,3.0,3.0,3.0,390.0,0,390.0,,Act Nov 2025,inventory/data/products-all.csv
407,481332M01,481332M01,Resorte muelle HOSHIZAKI,2.0,0.0,0.0,0.0,0.0,0.0,1158.57,0,1158.57,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
408,2006549,2006549,Sonda de nivel de agua MANITOWOC,1.0,1.0,0.0,1.0,1.0,1.0,1323.0,0,1323.0,,Act Nov 2025,inventory/data/products-all.csv
409,3013270-01,3013270-01,Soporte en Z para agua ICE O MATIC,1.0,1.0,0.0,1.0,1.0,1.0,890.0,0,890.0,,Vigencia de precio,inventory/data/products-all.csv
410,00000-8309,00000-8309,Tarjeta de control  MANITOWOC,1.0,1.0,0.0,1.0,1.0,1.0,13424.0,0,13424.0,,Act Nov 2025,inventory/data/products-all.csv
411,4H2582G01,4H2582G01,Tornillo para deposito de agua HOSHIZAKI,2.0,2.0,0.0,2.0,2.0,2.0,741.95,0,741.95,2025-02-27T00:00:00,,inventory/data/products-all.csv
414,00000-7965,00000-7965,Valvula entrada de agua MANITOWOC,2.0,2.0,0.0,2.0,2.0,2.0,3457.0,0,3457.0,,Vigencia de precio,inventory/data/products-all.csv
415,11-0564-02,11-0564-02,Valvula selenoide de 240v SCOTTMAN,1.0,1.0,0.0,1.0,1.0,1.0,0,102.1,2144.1,,Act Nov 2025,inventory/data/products-all.csv
420,PALISLA049,PALISLA049,Aspa grande de licuadora INTERNATIONAL,1.0,0.0,0.0,0.0,0.0,0.0,719.52,0,719.52,,,inventory/data/products-all.csv
422,BARRIL-3/8,BARRIL-3/8,Barril 3/8,3.0,3.0,0.0,3.0,3.0,3.0,7.78,0,7.78,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
423,PILOTO-1/4,PILOTO-1/4,Block piloto 1/4,1.0,1.0,0.0,1.0,1.0,1.0,266.45,0,266.45,,,inventory/data/products-all.csv
426,BLOCK 3-16,BLOCK 3-16,Block piloto sencillo de 3/16,3.0,0.0,0.0,0.0,0.0,0.0,144.83,0,144.83,,,inventory/data/products-all.csv
428,156029,156029,"Bombilla transparente W 40 ,V 130 DUKE",4.0,4.0,0.0,4.0,4.0,4.0,188.06,0,188.06,,Vigencia de precio,inventory/data/products-all.csv
429,W10380496,W10380496,Carbones para batidora,3.0,3.0,0.0,3.0,1.0,1.0,147.5,0,147.5,,,inventory/data/products-all.csv
430,PK2CB,PK2CB,Carbones para motor Licuadora Vitamix San-son Omniblend Ceos,1.0,1.0,0.0,1.0,1.0,1.0,600.0,0,600.0,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
431,CEPILLO,CEPILLO,Cepillo de alambre con mango curvo,4.0,4.0,0.0,4.0,4.0,4.0,100.0,0,100.0,,,inventory/data/products-all.csv
433,2J-306342,2J-306342,"Conjunto de tubo piloto y punta, 3/16"", H-241 WELLS",1.0,1.0,0.0,1.0,1.0,1.0,398.5,0,398.5,,,inventory/data/products-all.csv
434,8003029,8003029,Conjunto piloto y electrodo gas natural DUKE,4.0,4.0,0.0,4.0,4.0,4.0,671.75,0,671.75,,Vigencia de precio,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
435,35-625906-011,35-625906-011,Control de encendido 24 vac FENWAL,1.0,1.0,0.0,1.0,1.0,1.0,5900.0,0,5900.0,,Vigencia de precio,inventory/data/products-all.csv
436,44-1266044122,44-1266044122,Control de encendido FENWAL/BLODGETT,1.0,1.0,0.0,1.0,1.0,1.0,3100.0,0,3100.0,,Vigencia de precio,inventory/data/products-all.csv
438,9706529,9706529,Engrane metalico inferior Batidora KITCHEN AID,2.0,2.0,0.0,2.0,2.0,2.0,450.0,0,450.0,,,inventory/data/products-all.csv
439,WPW10112253,WPW10112253,Engrane para batidora plastico KITCHEN AID,2.0,2.0,0.0,2.0,2.0,2.0,199.9,0,199.9,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
440,ESPREA,ESPREA,Esprea de capote,4.0,4.0,0.0,4.0,4.0,4.0,25.65,0,25.65,,,inventory/data/products-all.csv
442,681027,681027,Fan motor 120v ALTO-SHAAM,1.0,1.0,0.0,1.0,1.0,1.0,0,135.0,2835.0,2025-08-06T00:00:00,,inventory/data/products-all.csv
443,FILTRO-PITCO,FILTRO-PITCO,Filtros de papel para freidora Pitco PP10613 14.5 x 22.5cm,19.0,10.0,9.0,19.0,19.0,19.0,2200.0,0,2200.0,,,inventory/data/products-all.csv
444,BT-15,BT-15,Foco acorazanado 95watts,5.0,1.0,0.0,1.0,1.0,1.0,120.0,0,120.0,2025-03-18T00:00:00,,inventory/data/products-all.csv
445,66740,66740,Foco Halogeno para Horno 25w EUROPAN,2.0,2.0,0.0,2.0,2.0,2.0,344.0,0,344.0,,Act Nov 2025,inventory/data/products-all.csv
446,CBT-322-126,CBT-322-126,"Hoja De Sierra De Cinta, 126"" X 5/8"" X 0,22"", 3 Dientes Por Pulgada TORREY",3.0,3.0,0.0,3.0,3.0,3.0,250.0,0,250.0,,,inventory/data/products-all.csv
448,421167,421167,Interruptor de encendido ALTO-SHAAM,1.0,1.0,0.0,1.0,1.0,1.0,842.6,0,842.6,2025-08-06T00:00:00,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
