source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia,matched_sources
319,9754869,9754869,Tubo recogida de detergente Meiko,1.0,1.0,0.0,1.0,1.0,1.0,3901.5,0,3901.5,2026-04-02T00:00:00,Vigencia de precio,
347,00-961683-000G1,00-961683-000G1,Kit de mantenimiento de cables de alta tensión Vulcan,1.0,1.0,0.0,1.0,1.0,1.0,1300.0,0,1300.0,2026-04-22T00:00:00,,
367,HSR-CHGBMYN,HSR-CHGBMYN,Regulador fisher,0.0,1.0,0.0,1.0,0.0,0.0,4991.47,0,4991.47,2026-04-30T00:00:00,,
392,PD502923,PD502923,Conector en T Follet,1.0,1.0,0.0,1.0,1.0,1.0,220.0,0,220.0,2026-04-15T00:00:00,Act Nov 2025,
394,957910,957910,"Conjunto de tapa, deposito serie 7 follet",1.0,1.0,0.0,1.0,1.0,1.0,3639.9,0,3639.9,2026-04-15T00:00:00,Act Nov 2025,
398,ICE24,ICE24,Interruptor de purga,4.0,0.0,0.0,0.0,4.0,4.0,272.09,0,272.09,,Vigencia de precio,
399,10510,10510,Interruptor magnetico de cortina  MANITOWOC,2.0,2.0,0.0,2.0,2.0,2.0,650.0,0,650.0,,Vigencia de precio,
412,4A1551-01,4A1551-01,Tubo de goma HOSHIZAKI,1.0,1.0,0.0,1.0,1.0,1.0,910.3,0,910.3,2025-02-27T00:00:00,,
413,1767,1767,Valvula de descarga 120 v MANITOWOC 000014062,1.0,0.0,0.0,0.0,0.0,0.0,1797.0,0,1797.0,,Act Nov 2025,
419,40.06.625P,40.06.625P,"Arnés De Cables, Bomba Rational",1.0,1.0,0.0,1.0,1.0,1.0,629.65,0,629.65,2026-04-23T00:00:00,,
421,BARRIL-1/4,BARRIL-1/4,Barril 1/4,3.0,3.0,0.0,3.0,3.0,3.0,11.12,0,11.12,,,
424,"BP1/4""","BP1/4""",Block piloto 1/4 QUEMAID,10.0,11.0,0.0,11.0,11.0,11.0,44.0,0,44.0,,Act Feb 2026,
425,"BP3/16""","BP3/16""",Block piloto 3/16 QUEMAID,9.0,9.0,0.0,9.0,9.0,9.0,40.0,0,40.0,,Act Feb 2026,
427,56.01.024P,56.01.024P,Bomba de vaciado,2.0,2.0,0.0,2.0,2.0,2.0,688.59,0,688.59,,Vigencia de precio,
432,00-497586-00001,00-497586-00001,Cerradura de rodillo para puerta Vulcan,1.0,2.0,0.0,2.0,2.0,2.0,774.93,0,774.93,2026-04-23T00:00:00,,
437,00-913102-00292,00-913102-00292,Control de encendido por chispa Vulcan,1.0,1.0,0.0,1.0,1.0,1.0,3500.0,0,3500.0,2026-04-13T00:00:00,Act Nov 2025,
447,CBT-322-77,CBT-322-77,"Hoja De Sierra De Cinta, 77"" X 5/8"" X 0,22"", 3 Dientes Por Pulgada TORREY",2.0,2.0,0.0,2.0,2.0,2.0,150.0,0,150.0,,,
449,000-891,000-891,Juego de engranes de transimision VITAMIX,2.0,0.0,0.0,0.0,0.0,0.0,349.33,0,349.33,,,
450,60.70.464,60.70.464,Kit De Conexion para Modelos 61 A 202 RATIONAL,1.0,1.0,0.0,1.0,1.0,1.0,1300.0,0,1300.0,,,
457,PBDR,PBDR,Perilla bakelita doble roja QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,50.0,0,50.0,,Act Feb 2026,
458,PBTL,PBTL,Perilla bakelita linea QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
459,PBTMG,PBTMG,Perilla bakelita moño grande QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
460,PBTML,PBTML,Perilla bakelita moño largo QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
461,PBTM,PBTM,Perilla bakelita moño QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
462,PBTP,PBTP,Perilla bakelita punto QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
463,PBTRN,PBTRN,Perilla bakelita rombo negra QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
464,PBTR,PBTR,Perilla bakelita rombo QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
465,PBTC,PBTC,Perilla bakelita tipo c QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,25.0,0,25.0,,Act Feb 2026,
466,PBTF,PBTF,Perilla bakelita tipo flama QUEMAID,5.0,2.0,0.0,2.0,2.0,2.0,25.0,0,25.0,,Act Feb 2026,
467,PBQR,PBQR,Perilla bakelita tipo q roja QUEMAID,5.0,0.0,0.0,0.0,0.0,0.0,25.0,0,25.0,,Act Feb 2026,
468,PER-100200,PER-100200,Perilla de 100-200 C,3.0,3.0,0.0,3.0,3.0,3.0,148.0,0,148.0,,Act Nov 2025,
469,39832,39832,Perilla de acero linea indicadora IMPERIAL,8.0,8.0,0.0,8.0,8.0,8.0,1050.0,0,1050.0,,Act Nov 2025,
471,PMCHAZUL,PMCHAZUL,Perilla metalica chica azul QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,110.0,0,110.0,,Act Feb 2026,
472,PMCHNEGRA,PMCHNEGRA,Perilla metalica chica negra QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,110.0,0,110.0,,Act Feb 2026,
473,PMCHROJA,PMCHROJA,Perilla metalica chica roja QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,110.0,0,110.0,,Act Feb 2026,
474,PMTA,PMTA,Perilla metalica tipo asber QUEMAID,5.0,5.0,0.0,5.0,4.0,4.0,150.0,0,150.0,,Act Feb 2026,
475,PMTCAZUL,PMTCAZUL,Perilla metalica tipo c azul QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,150.0,0,150.0,,Act Feb 2026,
476,PMTCNEGRA,PMTCNEGRA,Perilla metalica tipo c negra QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,150.0,0,150.0,,Act Feb 2026,
477,PMTCROJA,PMTCROJA,Perilla metalica tipo c roja QUEMAID,5.0,5.0,0.0,5.0,5.0,5.0,150.0,0,150.0,,Act Feb 2026,
493,CMS-3/4,CMS-3/4,Regulador lobo 3/4 0.8m7hr CMS,1.0,1.0,0.0,1.0,1.0,1.0,540.0,0,540.0,,,
494,SENSORJ-CASM,SENSORJ-CASM,Sensor J CASMANK,3.0,3.0,0.0,3.0,3.0,3.0,449.0,0,449.0,,,
497,37439,37439,Tarjeta de control para deshidratador WARING,2.0,2.0,0.0,2.0,2.0,2.0,0.0,35.3,741.3,,Act Nov 2025,
498,TCABOS0002,TCABOS0002,Tarjeta electronica HC SANSON/ASSERT,1.0,1.0,0.0,1.0,1.0,1.0,9500.0,0,9500.0,,,
500,9511295,9511295,"Termocople de 60"" para horno",2.0,2.0,0.0,2.0,2.0,2.0,290.0,0,290.0,,,
502,TUERCA-4/8,TUERCA-4/8,Tuerca de 4/8,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,18.0,,,
509,VRI,VRI,Valvula regulable importada QUEMAID,4.0,4.0,0.0,4.0,4.0,4.0,150.0,0,150.0,,Act Feb 2026,
515,41-224,41-224,Encendedor de superficie SOUTHBEND RANGE Modelo BGS CG GB GS SLGB STRG,1.0,1.0,0.0,1.0,1.0,1.0,890.0,0,890.0,,,
567,YA3A0524,YA3A0524,Prueba de dureza de carbonos,3.0,3.0,0.0,3.0,3.0,3.0,150.0,0,150.0,,Vigencia de precio,
569,KGN1240A,KGN1240A,Sello de silicona para vidrio,1.0,0.0,0.0,0.0,1.0,1.0,350.0,0,350.0,2026-04-20T00:00:00,Vigencia de precio,
575,PSA1242,PSA1242,Kit de conjunto calentador resistencia MERRYCHEF,1.0,1.0,0.0,1.0,1.0,1.0,8015.0,0,8015.0,,,
576,HIDAMP12,HIDAMP12,"Persiana de ventilación 12"" de 14.96 x 14.39 x 1.38""",5.0,0.0,0.0,0.0,5.0,5.0,400.0,0,400.0,2026-05-18T00:00:00,,
578,R02.08.143E.00,R02.08.143E.00,"Resistencia 220 V, 1250 W, GR54 HATCO",2.0,1.0,0.0,1.0,1.0,1.0,1432.32,0,1432.32,,,
579,"RES-12""","RES-12""","Resistencia de 12"" 1/2",2.0,1.0,0.0,1.0,1.0,1.0,330.0,0,330.0,,,
581,FAB-RES115-1500W,FAB-RES115-1500W,Resistencia M 20 cm ancho x 46 cm largo 115V 1500 WATSS,2.0,1.0,0.0,1.0,1.0,1.0,1419.0,0,1419.0,,,
589,TURBINA-5/8,TURBINA-5/8,Turbina jaula de ardilla 25 x 6.5 cm con flecha 5/8 con lam galvanizada con buje,3.0,3.0,0.0,3.0,3.0,3.0,2260.0,0,2260.0,,,
590,TURBINA-5/8IZQ13,TURBINA-5/8IZQ13,Turbina jaula de ardilla de 23 x 13cm con flecha 5/8 lamina galvanizada,1.0,1.0,0.0,1.0,1.0,1.0,2900.0,0,2900.0,,,
591,TURBINA-5/8IZQ4,TURBINA-5/8IZQ4,Turbina jaula de ardilla de 27.5 x 4cm con flecha 5/8 comercial galvanizada rot. Izq,1.0,1.0,0.0,1.0,1.0,1.0,2260.0,0,2260.0,,,
592,TURBINA-5/8IZQ5,TURBINA-5/8IZQ5,Turbina jaula de ardilla de 27.5 x 5cm con flecha 5/8 comercial galvanizada rot. Izq,2.0,2.0,0.0,2.0,2.0,2.0,2260.0,0,2260.0,,,
593,HIFANXEXHAUST-7,HIFANXEXHAUST-7,"Ventilador Extractor de aluminio por persiana de 7""",1.0,0.0,0.0,0.0,1.0,1.0,1500.0,0,1500.0,2026-05-18T00:00:00,,
632,DU85HFA3/4HP,DU85HFA3/4HP,"Motor de extracción 0.750 HP, 1 fase, 115v, 60 Hz, Monofasico",1.0,0.0,0.0,0.0,1.0,1.0,30885.26,0,30885.26,,Act Nov 2025,
